Timestamp,Site - PV Power,Site - Load Power,Site - Grid Power,Site - Battery Power
Mon Nov 06 2017 04:16:00 GMT+0800 (SGT),2.7865,2.66,,
Mon Nov 06 2017 04:17:00 GMT+0800 (SGT),2.528,2.5465,0.037,
Mon Nov 06 2017 04:18:00 GMT+0800 (SGT),,,0.236,0.01
Mon Nov 06 2017 04:19:00 GMT+0800 (SGT),2.964,,-0.435,0.035
Mon Nov 06 2017 04:20:00 GMT+0800 (SGT),3.7905,2.873,0.046,0.954
Mon Nov 06 2017 04:21:00 GMT+0800 (SGT),4.273,,-0.026,
Mon Nov 06 2017 04:22:00 GMT+0800 (SGT),,2.68,0.045,0.563
Mon Nov 06 2017 04:23:00 GMT+0800 (SGT),,2.76,-0.0075,1.572
Mon Nov 06 2017 04:24:00 GMT+0800 (SGT),,2.506,0.036,1.547
Mon Nov 06 2017 04:25:00 GMT+0800 (SGT),4.415,2.784,,1.4865
Mon Nov 06 2017 04:26:00 GMT+0800 (SGT),,,-0.022,1.094
Mon Nov 06 2017 04:27:00 GMT+0800 (SGT),,3.056,0.185,
Mon Nov 06 2017 04:28:00 GMT+0800 (SGT),4.607,2.311,-0.138,1.7115
Mon Nov 06 2017 04:29:00 GMT+0800 (SGT),4.072,3.097,0.088,1.063
Mon Nov 06 2017 04:30:00 GMT+0800 (SGT),,2.922,0.121,0.137
Mon Nov 06 2017 04:31:00 GMT+0800 (SGT),2.747,,-0.065,
Mon Nov 06 2017 04:32:00 GMT+0800 (SGT),3.339,2.783,,0.518
Mon Nov 06 2017 04:33:00 GMT+0800 (SGT),2.883,2.821,0.042,0.121
Mon Nov 06 2017 04:34:00 GMT+0800 (SGT),3.072,2.689,-0.073,0.274
Mon Nov 06 2017 04:35:00 GMT+0800 (SGT),,2.664,,
Mon Nov 06 2017 04:36:00 GMT+0800 (SGT),2.747,2.7625,0.014,
Mon Nov 06 2017 04:37:00 GMT+0800 (SGT),,2.779,-0.094,0.101
Mon Nov 06 2017 04:38:00 GMT+0800 (SGT),2.736,,0.02,0.67
Mon Nov 06 2017 04:39:00 GMT+0800 (SGT),,2.078,,1.124
Mon Nov 06 2017 04:40:00 GMT+0800 (SGT),2.151,,0.317,0.005
Mon Nov 06 2017 04:41:00 GMT+0800 (SGT),2.1455,2.7415,,0.005
Mon Nov 06 2017 04:42:00 GMT+0800 (SGT),,,,0.005
Mon Nov 06 2017 04:43:00 GMT+0800 (SGT),1.788,,0.956,0.005
Mon Nov 06 2017 04:44:00 GMT+0800 (SGT),1.854,,,0.02
Mon Nov 06 2017 04:45:00 GMT+0800 (SGT),,2.833,,0.594
Mon Nov 06 2017 04:46:00 GMT+0800 (SGT),3.74,2.537,-0.037,1.165
Mon Nov 06 2017 04:47:00 GMT+0800 (SGT),3.8,2.914,,
Mon Nov 06 2017 04:48:00 GMT+0800 (SGT),,,,0.941
Mon Nov 06 2017 04:49:00 GMT+0800 (SGT),,,,1.2345
Mon Nov 06 2017 04:51:00 GMT+0800 (SGT),4.451,3.042,0.26,
Mon Nov 06 2017 04:52:00 GMT+0800 (SGT),4.293,2.519,-0.048,1.725
Mon Nov 06 2017 04:53:00 GMT+0800 (SGT),7.674,,,
Mon Nov 06 2017 04:54:00 GMT+0800 (SGT),,,0.12,1.672
Mon Nov 06 2017 04:56:00 GMT+0800 (SGT),6.956,3.344,,
Mon Nov 06 2017 04:58:00 GMT+0800 (SGT),6.654,,0.041,
Mon Nov 06 2017 04:59:00 GMT+0800 (SGT),7.2,,,
Mon Nov 06 2017 05:00:00 GMT+0800 (SGT),6.731,3.404,-0.091,3.0635
Mon Nov 06 2017 05:01:00 GMT+0800 (SGT),4.9445,4.566,0.43,0.8085
Mon Nov 06 2017 05:02:00 GMT+0800 (SGT),4.543,3.44,0.3185,1.421
Mon Nov 06 2017 05:03:00 GMT+0800 (SGT),5.658,3.7825,-0.0495,1.825
Mon Nov 06 2017 05:04:00 GMT+0800 (SGT),6.455,3.432,0.056,3.079
Mon Nov 06 2017 05:05:00 GMT+0800 (SGT),4.008,4.3995,0.722,0.3295
Mon Nov 06 2017 05:06:00 GMT+0800 (SGT),2.215,3.396,1.187,0.005
Mon Nov 06 2017 05:07:00 GMT+0800 (SGT),4.208,3.106,-0.994,0.107
