Timestamp,Site - PV Power,Site - Load Power,Site - Grid Power,Site - Battery Power,MPPT - Current,MPPT - Voltage,BMS - Battery Voltage,BMS - Battery Current,BMS - Temperature,BMS - Amp Hour Charge
Mon Nov 06 2017 02:59:00 GMT+0800 (SGT),0.012,4.4265,4.4205,0.005,,,50.91,0.4215,21,0.007
Mon Nov 06 2017 03:00:00 GMT+0800 (SGT),0.012,3.943,3.937,0.005,,,50.91,0.4225,21,0.007
Mon Nov 06 2017 03:01:00 GMT+0800 (SGT),0.012,3.232,3.226,0.005,,,50.91,0.419,21,0.007
Mon Nov 06 2017 03:02:00 GMT+0800 (SGT),0.012,3.192,3.191,0.01,,,50.91,0.42,21,0.007
Mon Nov 06 2017 03:03:00 GMT+0800 (SGT),0.012,3.1865,3.1805,0.005,,,50.91,0.419,21,0.007
Mon Nov 06 2017 03:04:00 GMT+0800 (SGT),0.012,3.2445,3.241,0.0075,,,50.91,0.4205,21,0.007
Mon Nov 06 2017 03:05:00 GMT+0800 (SGT),0.012,3.1785,3.1725,0.005,,,50.91,0.42,21,0.007
Mon Nov 06 2017 03:06:00 GMT+0800 (SGT),0.012,3.1605,3.1565,0.0075,,,50.91,0.421,21,0.007
Mon Nov 06 2017 03:07:00 GMT+0800 (SGT),0.012,3.1595,3.153,0.005,,,50.91,0.4205,21,0.007
Mon Nov 06 2017 03:08:00 GMT+0800 (SGT),0.012,3.145,3.139,0.005,,,50.91,0.4195,21,0.007
Mon Nov 06 2017 03:09:00 GMT+0800 (SGT),0.012,3.1345,3.1285,0.005,,,50.91,0.4225,21,0.007
Mon Nov 06 2017 03:10:00 GMT+0800 (SGT),0.012,3.0645,3.0585,0.005,,,50.91,0.4195,21,0.007
Mon Nov 06 2017 03:11:00 GMT+0800 (SGT),0.012,3.0765,3.07,0.005,,,50.91,0.4195,21,0.007
Mon Nov 06 2017 03:12:00 GMT+0800 (SGT),0.012,2.851,2.845,0.005,,,50.91,0.4205,21,0.007
Mon Nov 06 2017 03:13:00 GMT+0800 (SGT),0.012,2.855,2.837,,,,50.91,0.4195,21,0.007
Mon Nov 06 2017 03:14:00 GMT+0800 (SGT),0.012,2.8405,2.8345,0.005,,,50.91,0.419,21,0.007
Mon Nov 06 2017 03:15:00 GMT+0800 (SGT),0.012,2.861,2.855,0.005,,,50.91,0.42,21,0.007
Mon Nov 06 2017 03:16:00 GMT+0800 (SGT),0.012,2.803,2.797,0.005,,,50.91,0.417,21,0.007
Mon Nov 06 2017 03:17:00 GMT+0800 (SGT),0.055,2.7215,2.672,0.005,,,50.91,0.423,21,
Mon Nov 06 2017 03:18:00 GMT+0800 (SGT),0.1015,3.383,2.9745,0.005,,,50.91,0.4205,21,0.007
Mon Nov 06 2017 03:19:00 GMT+0800 (SGT),0.103,3.3565,3.259,0.005,,,50.91,0.423,21,0.007
Mon Nov 06 2017 03:20:00 GMT+0800 (SGT),0.091,3.3695,3.2845,0.005,,,50.91,0.4235,21,0.007
Mon Nov 06 2017 03:21:00 GMT+0800 (SGT),,3.275,3.307,,,,50.91,0.424,21,
Mon Nov 06 2017 03:22:00 GMT+0800 (SGT),0.067,3.288,3.223,0.005,,,50.91,0.42,21,0.007
Mon Nov 06 2017 03:23:00 GMT+0800 (SGT),0.06,3.28,,0.005,,,50.91,0.421,21,
Mon Nov 06 2017 03:24:00 GMT+0800 (SGT),0.083,3.2495,3.171,,,,50.91,0.423,21,0.007
Mon Nov 06 2017 03:25:00 GMT+0800 (SGT),,,,0.005,,,50.91,,21,0.007
Mon Nov 06 2017 03:26:00 GMT+0800 (SGT),0.103,3.243,,0.005,,,50.91,,,0.007
Mon Nov 06 2017 03:27:00 GMT+0800 (SGT),0.12,3.3455,3.321,0.005,,,50.91,,21,
Mon Nov 06 2017 03:28:00 GMT+0800 (SGT),0.135,,3.086,,,,,0.4225,21,0.007
Mon Nov 06 2017 03:29:00 GMT+0800 (SGT),0.15,3.033,2.878,0.005,,,50.91,,21,0.007
Mon Nov 06 2017 03:30:00 GMT+0800 (SGT),0.165,,2.9015,0.005,,,50.91,0.418,21,0.007
Mon Nov 06 2017 03:31:00 GMT+0800 (SGT),0.181,3.0285,2.883,0.005,,,50.91,,21,0.007
Mon Nov 06 2017 03:32:00 GMT+0800 (SGT),,3.0815,2.909,0.005,,,50.91,,,0.007
Mon Nov 06 2017 03:33:00 GMT+0800 (SGT),,3.075,2.89,0.005,,,50.91,0.419,,0.006
Mon Nov 06 2017 03:34:00 GMT+0800 (SGT),0.223,,2.86,0.0075,,,50.91,,21,0.006
Mon Nov 06 2017 03:35:00 GMT+0800 (SGT),0.209,3.048,2.814,,,,50.91,,21,0.006
